t	1	2	3	4	5	6	7	8	9	10	11	12	13
0	0.0013	0.0042	0.0014	0.0027	0.002	0.0026	0.0016	0.0041	0.0009	0.0011	0.0011	0.0019	
0.0013	0	0.0024	0.0048	0.0021	0.0024	0.0029	0.0019	0.002	0.0029	0.0067	0.0063	0.0047	
0.0042	0.0024	0	0.0016	0.0011	0.0012	0.0013	0.0011	0.0025	0.0014	0.002	0.0018	0.0016	
0.0014	0.0048	0.0016	0	0.0029	0.0047	0.003	0.0026	0.0022	0.0018	0.0026	0.005	0.0053	
0.0027	0.0021	0.0011	0.0029	0	0.0069	0.0048	0.0036	0.008	0.0013	0.0016	0.0019	0.0038	
0.002	0.0024	0.0012	0.0047	0.0069	0	0.0054	0.0067	0.0038	0.0014	0.0016	0.0025	0.0042	
0.0026	0.0029	0.0013	0.003	0.0048	0.0054	0	0.0031	0.0067	0.0015	0.002	0.002	0.0067	
0.0016	0.0019	0.0011	0.0026	0.0036	0.0067	0.0031	0	0.0028	0.0012	0.0015	0.002	0.0029	
0.0041	0.002	0.0025	0.0022	0.008	0.0038	0.0067	0.0028	0	0.0019	0.0015	0.0015	0.0033	
0.0009	0.0029	0.0014	0.0018	0.0013	0.0014	0.0015	0.0012	0.0019	0	0.0019	0.002	0.0018	
0.0011	0.0067	0.002	0.0026	0.0016	0.0016	0.002	0.0015	0.0015	0.0019	0	0.0031	0.0027	
0.0011	0.0063	0.0018	0.005	0.0019	0.0025	0.002	0.002	0.0015	0.002	0.0031	0	0.0028	
0.0019	0.0047	0.0016	0.0053	0.0038	0.0042	0.0067	0.0029	0.0033	0.0018	0.0027	0.0028	0	
