	Όνομα Διαδρομής	Τιμή Φόρτου	Ενεργοποιημένη
0	Δράμας-Ξάνθης	0	True
1	Καβάλας-Σερρών	0	True
2	Ροδόπης-Δράμας	0	True
3	Φθιώτιδας-Αιτωλ/νανίας	0	True
4	Άρτας-Τρικάλων	2.3	True
5	Πιερίας-Κοζάνης	4.83	True
6	Γρεβενών-Λάρισας	8.62	True
7	Κοζάνης-Φλώρινας	13.07	True
8	Ανατολικής Αττικής-Νοτίου Τομέα Αθηνών	13.5	True
9	Καστοριάς-Κοζάνης	16.63	True
10	Φλώρινας-Πέλλας	17.47	True
11	Κιλκίς-Πέλλας	36.09	True
12	Βορείου Τομέα Αθηνών-Δυτικού Τομέα Αθηνών	50.04	True
13	Ιθάκης-Ηλείας	50.79	True
14	Ανατολικής Αττικής-Κύθνου	59.57	True
15	Άρτας-Καρδίτσας	66.71	True
16	Κιλκίς-Σερρών	70.64	True
17	Ημαθίας-Πέλλας	77.02	True
18	Κοζάνης-Λάρισας	87.69	True
19	Καρπάθου-Πειραιώς	121.95	False
20	Πειραιώς-Τήνου	132.66	False
21	Ξάνθης-Ροδόπης	134.21	True
22	Ικαρίας-Πειραιώς	145.74	False
23	Θεσσαλονίκης-Πέλλας	146.95	True
24	Άνδρου-Πειραιώς	169.78	False
25	Μήλου-Πειραιώς	190.45	False
26	Μυκόνου-Πειραιώς	217.15	False
27	Φωκίδας-Φθιώτιδας	226.66	True
28	Λήμνου-Πειραιώς	244.93	False
29	Ιωαννίνων-Πρέβεζας	287.58	True
30	Πάρου-Πειραιώς	296.23	False
31	Φθιώτιδας-Σποράδων	313.5	True
32	Πειραιώς-Θήρας	323.94	False
33	Άρτας-Πρέβεζας	335.56	True
34	Πειραιώς-Σύρου	340.93	False
35	Θάσου-Καβάλας	405.75	True
36	Νάξου-Πειραιώς	420.5	False
37	Λάρισας-Τρικάλων	460.73	True
38	Καλύμνου-Πειραιώς	461.76	False
39	Λευκάδας-Ηλείας	627.44	True
40	Ευρυτανίας-Φθιώτιδας	630.09	True
41	Κω-Πειραιώς	674.16	False
42	Γρεβενών-Καστοριάς	698.46	True
43	Κεφαλληνίας-Ηλείας	710.9	True
44	Καστοριάς-Φλώρινας	717.7	True
45	Ιωαννίνων-Καστοριάς	729.85	True
46	Πειραιώς-Σάμου	795.48	False
47	Ιωαννίνων-Τρικάλων	808.07	True
48	Πέλλας-Κοζάνης	891.39	True
49	Πειραιώς-Χίου	992.23	False
50	Ηλείας-Αρκαδίας	1003.99	True
51	Πέλλας-Λάρισας	1013.17	True
52	Αργολίδας-Αρκαδίας	1057.39	True
53	Θεσσαλονίκης-Κιλκίς	1119.17	True
54	Καρδίτσας-Λάρισας	1246.89	True
55	Φωκίδας-Αιτωλ/νανίας	1347.59	True
56	Λευκάδας-Αιτωλ/νανίας	1436.12	True
57	Καβάλας-Ξάνθης	1549.8	True
58	Αχαΐας-Αρκαδίας	1639.33	True
59	Βοιωτίας-Εύβοιας	1649.64	True
60	Καρδίτσας-Ευρυτανίας	1795.01	True
61	Θεσπρωτίας-Πρέβεζας	1821.05	True
62	Φωκίδας-Βοιωτίας	1862.61	True
63	Γρεβενών-Τρικάλων	1931.78	True
64	Μαγνησίας-Λάρισας	2067.28	True
65	Λευκάδας-Πρέβεζας	2306.88	True
66	Ανατολικής Αττικής-Κεντρικού Τομέα Αθηνών	2343.64	True
67	Ευρυτανίας-Αιτωλ/νανίας	2392.19	True
68	Ζακύνθου-Ηλείας	2413.78	True
69	Έβρου-Ροδόπης	2414.06	True
70	Κορινθίας-Αργολίδας	2490.35	True
71	Μαγνησίας-Φθιώτιδας	2531.38	True
72	Εύβοιας-Βορείου Τομέα Αθηνών	2759.04	True
73	Πειραιώς-Ρόδου	2806.43	False
74	Κορινθίας-Αχαΐας	2897.14	True
75	Μεσσηνίας-Λακωνίας	3363.42	True
76	Ροδόπης-Καβάλας	3396.12	True
77	Θεσσαλονίκης-Χαλκιδικής	3736.61	True
78	Θεσπρωτίας-Ιωαννίνων	3746.24	True
79	Καρδίτσας-Τρικάλων	3892.99	True
80	Δυτικού Τομέα Αθηνών-Κεντρικού Τομέα Αθηνών	3926.79	True
81	Ηρακλείου-Ρεθύμνης	4034.78	True
82	Βοιωτίας-Βορείου Τομέα Αθηνών	4272.3	True
83	Καρδίτσας-Φθιώτιδας	4698.82	True
84	Δυτικού Τομέα Αθηνών-Νήσων	4964.02	True
85	Λασιθίου-Ηρακλείου	5083.12	True
86	Δυτικού Τομέα Αθηνών-Δυτικής Αττικής	5122.46	True
87	Ανατολικής Αττικής-Βορείου Τομέα Αθηνών	5171.48000000001	True
88	Βορείου Τομέα Αθηνών-Κεντρικού Τομέα Αθηνών	6214.1	True
89	Θεσπρωτίας-Κέρκυρας	6229.63	True
90	Ρεθύμνης-Χανίων	6249.45	True
91	Κεντρικού Τομέα Αθηνών-Νοτίου Τομέα Αθηνών	6495.99	True
92	Λέσβου-Πειραιώς	6623.38	False
93	Δράμας-Καβάλας	6807.06000000002	True
94	Δυτικής Αττικής-Βορείου Τομέα Αθηνών	6822.31000000001	True
