ΠΕΡΙΦΕΡΕΙΑ	ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΕΝΟΤΗΤΕΣ	ΚΕΝΤΡΟΕΙΔΕΣ	longitude	latitude																				
Κρήτη	Λασιθίου	ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ	25.7175216	35.1905899	Ηρακλείου																			
Αν. Μακεδονία & Θράκη	Έβρου	ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ	25.8753275	40.845692	Ροδόπης																			
Στ. Ελλάδας	Φωκίδας	ΑΜΦΙΣΣΑ	22.3783845	38.5272729	Φθιώτιδας	Βοιωτίας	Αιτωλ/νανίας																	
Αττική	Ανατολικής Αττικής	ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ	23.8703229343	38.1930742554	Βορείου Τομέα Αθηνών	Κεντρικού Τομέα Αθηνών	Κύθνου	Νοτίου Τομέα Αθηνών																
Ν. Αιγαίο	Άνδρου	ΑΝΔΡΟΣ	24.9608767512	37.8157005748	Πειραιώς																			
Ιονίων Νήσων	Κεφαλληνίας	ΑΡΓΟΣΤΟΛΙ	20.4878219	38.1735424	Ηλείας																			
Ήπειρος	Άρτας	ΑΡΤΑ	20.9858503	39.161555	Πρέβεζας	Ιωαννίνων	Καρδίτσας	Τρικάλων	Αιτωλ/νανίας															
Κεντρ. Μακεδονία	Ημαθίας	ΒΕΡΟΙΑ	22.2036834	40.5215342	Πέλλας	Πιερίας	Θεσσαλονίκης	Κοζάνης																
Θεσσαλία	Μαγνησίας	ΒΟΛΟΣ	22.9401864	39.3624833	Λάρισας	Φθιώτιδας																		
Αττική	Βορείου Τομέα Αθηνών	ΒΤ ΑΘΗΝΩΝ	23.8239753874	38.0570504994	Δυτικού Τομέα Αθηνών	Κεντρικού Τομέα Αθηνών	Ανατολικής Αττικής																	
Δυτ. Μακεδονία	Γρεβενών	ΓΡΕΒΕΝΑ	21.4284718	40.0856892	Κοζάνης	Ιωαννίνων	Καστοριάς	Λάρισας	Τρικάλων															
Αν. Μακεδονία & Θράκη	Δράμας	ΔΡΑΜΑ	24.1468286	41.1499443	Καβάλας	Ξάνθης	Σερρών																	
Αττική	Δυτικού Τομέα Αθηνών	ΔΤ ΑΘΗΝΩΝ	23.6759285271	38.0144034671	Κεντρικού Τομέα Αθηνών	Βορείου Τομέα Αθηνών	Δυτικής Αττικής	Νήσων																
Αττική	Δυτικής Αττικής	ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ	23.3978432458	38.0523132788	Κορινθίας	Βορείου Τομέα Αθηνών	Δυτικού Τομέα Αθηνών	Νήσων	Βοιωτίας															
Κεντρ. Μακεδονία	Πέλλας	ΕΔΕΣΣΑ	22.050117	40.8009492	Ημαθίας	Κοζάνης	Λάρισας																	
Ιονίων Νήσων	Ζακύνθου	ΖΑΚΥΝΘΟΣ	20.8950319	37.7825062	Ηλείας																			
Ήπειρος	Θεσπρωτίας	ΗΓΟΥΜΕΝΙΤΣΑ	20.2650921	39.5045294	Ιωαννίνων	Πρέβεζας	Κέρκυρας																	
Κρήτη	Ηρακλείου	ΗΡΑΚΛΕΙΟ	25.1343475	35.3400127	Πειραιώς	Ρεθύμνης	Λασιθίου																	
Ήπειρος	Θάσου	ΘΑΣΟΣ	24.7096571	40.7785756	Καβάλας																			
Κεντρ. Μακεδονία	Θεσσαλονίκης	ΘΕΣΣΑΛΟΝΙΚΗ	22.9352716	40.6403167	Πέλλας	Ημαθίας	Κιλκίς	Χαλκιδικής	Σερρών															
Ιονίων Νήσων	Ιθάκης	ΙΘΑΚΗ	20.6836715996	38.4349661208	Ηλείας																			
Β. Αιγαίο	Ικαρίας	ΙΚΑΡΙΑ	26.2844458311	37.635972329	Πειραιώς																			
Ήπειρος	Ιωαννίνων	ΙΩΑΝΝΙΝΑ	20.8522784	39.6639818	Γρεβενών	Καστοριάς	Θεσπρωτίας	Πρέβεζας	Τρικάλων	Άρτας														
Αν. Μακεδονία & Θράκη	Καβάλας	ΚΑΒΑΛΑ	24.4122766	40.9369224	Δράμας	Θάσου	Ξάνθης	Σερρών																
Πελοποννήσου	Μεσσηνίας	ΚΑΛΑΜΑΤΑ	22.1109392	37.0377582	Ηλείας	Αρκαδίας	Λακωνίας																	
Ν. Αιγαίο	Καλύμνου	ΚΑΛΥΜΝΟΣ	26.9820732	36.9515787	Πειραιώς																			
Θεσσαλία	Καρδίτσας	ΚΑΡΔΙΤΣΑ	21.9211192	39.3634604	Άρτας	Λάρισας	Τρικάλων	Φθιώτιδας	Ευρυτανίας															
Ν. Αιγαίο	Καρπάθου	ΚΑΡΠΑΘΟΣ	27.2127142	35.5065848	Πειραιώς																			
Στ. Ελλάδας	Ευρυτανίας	ΚΑΡΠΕΝΗΣΙ	21.7943495	38.9152433	Φθιώτιδας	Καρδίτσας	Αιτωλ/νανίας																	
Δυτ. Μακεδονία	Καστοριάς	ΚΑΣΤΟΡΙΑ	21.2688435	40.5171556	Κοζάνης	Γρεβενών	Φλώρινας	Ιωαννίνων																
Κεντρ. Μακεδονία	Πιερίας	ΚΑΤΕΡΙΝΗ	22.5087618	40.2713616	Ημαθίας	Κοζάνης	Λάρισας																	
Ν. Αιγαίο	Κύθνου	ΚΕΑ-ΚΥΘΝΟΣ	24.3304807903	37.5711964093	Ανατολικής Αττικής																			
Ιονίων Νήσων	Κέρκυρας	ΚΕΡΚΥΡΑ	19.9210427	39.624247	Θεσπρωτίας																			
Κεντρ. Μακεδονία	Κιλκίς	ΚΙΛΚΙΣ	22.8741455	40.9935874	Θεσσαλονίκης	Πέλλας	Σερρών																	
Δυτ. Μακεδονία	Κοζάνης	ΚΟΖΑΝΗ	21.7883119	40.3007259	Ημαθίας	Πέλλας	Πιερίας	Γρεβενών	Καστοριάς	Φλώρινας	Λάρισας													
Αν. Μακεδονία & Θράκη	Ροδόπης	ΚΟΜΟΤΗΝΗ	25.4041307	41.117833	Δράμας	Καβάλας																		
Πελοποννήσου	Κορινθίας	ΚΟΡΙΝΘΟΣ	22.9280447	37.9386936	Δυτικής Αττικής	Αργολίδας	Αρκαδίας	Αχαΐας																
Αττική	Κεντρικού Τομέα Αθηνών	ΚΤ ΑΘΗΝΩΝ	23.759801861	37.9713800414	Βορείου Τομέα Αθηνών	Δυτικού Τομέα Αθηνών	Ανατολικής Αττικής	Νήσων	Νοτίου Τομέα Αθηνών															
Ν. Αιγαίο	Κω	ΚΩ	27.2866636	36.8940286	Πειραιώς																			
