Λασιθίου	Έβρου	Φωκίδας	Ανατολικής Αττικής	Άνδρου	Κεφαλληνίας	Άρτας	Ημαθίας	Μαγνησίας	Βορείου Τομέα Αθηνών	Γρεβενών	Δράμας	Δυτικού Τομέα Αθηνών	Δυτικής Αττικής	Πέλλας	Ζακύνθου	Θεσπρωτίας	Ηρακλείου	Θάσου	Θεσσαλονίκης	Ιθάκης	Ικαρίας	Ιωαννίνων	Καβάλας	Μεσσηνίας	Καλύμνου	Καρδίτσας	Καρπάθου	Ευρυτανίας	Καστοριάς	Πιερίας	Κύθνου	Κέρκυρας	Κιλκίς	Κοζάνης	Ροδόπης	Κορινθίας	Κεντρικού Τομέα Αθηνών	Κω	Φθιώτιδας	Λάρισας	Λευκάδας	Λήμνου	Βοιωτίας	Αιτωλ/νανίας	Μήλου	Μυκόνου	Λέσβου	Νάξου	Αργολίδας	Νήσων	Νοτίου Τομέα Αθηνών	Ξάνθης	Πάρου	Αχαϊας	Πειραιώς	Χαλκιδικής	Πρέβεζας	Ηλείας	Ρεθύμνης	Ρόδου	Σάμου	Θήρας	Σερρών	Λακωνίας	Σποράδων	Σύρου	Τήνου	Τρικάλων	Αρκαδίας	Φλώρινας	Εύβοιας	Χανίων	Χίου
0	1196	653	428	539	770	736	904	722	414	810	1040	401	427	936	710	859	64	1100	896	772	769	804	1047	626	419	699	197	683	878	829	508	897	934	870	1141	472	404	384	610	750	746	1194	536	631	563	599	774	276	528	432	404	1100	612	600	392	958	746	682	132	359	787	197	980	625	832	566	585	724	547	948	472	191	674
1197	0	659	771	924	936	620	371	506	789	463	186	800	826	379	875	622	1136	157	301	938	1185	560	149	1032	1213	508	1392	614	492	368	893	661	327	425	58	881	802	1455	593	452	675	296	681	724	977	1022	1189	1119	933	847	808	103	1035	766	806	288	648	864	1151	1554	1202	1269	264	1030	616	988	1007	513	952	492	752	1105	1089
654	659	0	229	381	278	234	367	185	246	273	503	257	283	399	218	357	593	563	359	281	642	302	510	374	670	162	849	146	341	292	350	395	397	333	604	224	259	912	72	213	243	657	62	128	434	479	646	576	276	304	265	563	492	108	263	420	244	206	608	1012	659	726	443	373	295	446	464	187	295	411	209	563	546
430	772	229	0	156	401	368	480	298	22	386	616	32	59	512	341	491	368	676	472	404	417	436	624	258	445	275	624	259	454	406	126	529	510	446	717	103	34	687	186	326	377	770	112	262	209	254	422	352	159	79	41	676	267	231	38	534	377	314	384	787	434	501	556	256	409	221	240	300	178	524	48	338	321
544	923	381	156	0	516	482	631	450	133	538	768	147	173	663	456	605	483	827	623	519	210	550	775	373	346	427	739	410	606	557	209	644	662	597	869	218	136	380	337	477	492	922	264	377	324	117	536	150	274	194	143	828	168	346	148	685	492	429	498	901	549	616	708	371	560	122	96	451	293	675	200	452	436
771	936	279	402	517	0	324	572	463	390	476	780	376	355	600	130	446	709	840	636	55	759	392	787	255	806	440	966	300	544	570	486	485	674	519	881	303	385	1029	350	491	107	934	332	218	551	615	763	694	354	421	393	840	628	169	381	698	333	139	725	1128	776	842	720	293	573	581	600	502	279	597	420	679	663
736	619	233	367	482	322	0	256	305	355	159	464	341	320	284	262	130	674	523	319	324	724	75	471	418	771	169	931	137	227	323	451	168	358	202	565	268	350	994	211	246	77	618	287	110	516	580	728	659	320	386	358	524	593	152	346	381	50	250	690	1093	741	807	403	416	415	546	565	185	338	281	385	644	628
904	372	366	479	631	572	256	0	214	496	100	216	507	534	45	512	258	843	276	72	574	892	196	223	668	920	215	1099	322	128	76	601	297	110	61	317	517	509	1162	301	159	312	370	388	360	684	729	896	826	569	554	516	276	742	402	513	134	285	500	859	1262	909	976	156	666	324	696	715	184	588	128	459	813	796
724	506	186	298	451	463	306	213	0	316	194	350	327	353	246	403	308	663	409	206	466	712	246	357	552	740	111	919	194	254	139	420	346	244	179	451	398	329	982	120	59	361	504	208	313	504	549	716	646	454	373	335	410	562	293	333	267	334	391	678	1081	729	795	290	551	111	515	534	120	473	257	279	632	616
417	789	246	21	134	389	356	497	315	0	403	633	20	47	529	329	478	356	693	489	392	405	424	640	246	423	292	612	276	471	422	103	517	527	463	734	91	13	675	203	343	365	787	129	250	197	232	409	339	147	67	22	693	245	219	26	551	365	302	371	775	422	489	573	244	425	198	217	317	166	541	65	326	309
811	464	273	385	538	475	160	101	195	403	0	309	414	473	129	415	162	750	368	164	478	799	100	316	571	827	129	1006	235	72	168	507	200	203	47	410	421	416	1069	202	135	215	463	295	263	591	636	803	733	473	461	422	369	649	305	420	226	188	403	765	1169	816	883	249	570	305	602	621	87	492	126	366	719	703
1041	186	503	616	768	780	464	215	350	633	308	0	644	671	224	720	466	980	90	145	782	1029	404	37	876	1057	352	1236	458	336	213	737	505	171	269	131	725	646	1299	437	296	520	184	525	568	821	866	1033	963	777	691	652	90	879	610	650	132	493	708	995	1399	1046	1113	68	874	461	833	851	357	796	336	596	950	933
401	799	257	32	146	375	341	507	326	19	414	644	0	32	539	315	464	340	703	499	378	389	409	651	232	499	303	596	286	481	433	116	503	538	473	745	77	10	659	213	353	351	798	140	236	181	245	393	323	133	50	17	704	257	205	10	561	351	288	355	758	406	472	583	230	436	211	230	327	152	551	76	309	293
428	776	275	59	174	354	320	483	302	47	473	620	33	0	516	294	443	366	679	476	356	415	388	627	210	463	279	623	263	540	409	143	482	514	515	721	56	42	685	189	330	330	774	101	215	208	272	420	351	112	78	50	680	285	184	38	537	330	267	382	785	432	499	560	209	412	238	257	304	131	594	76	336	320
937	380	399	511	664	599	284	45	246	529	127	224	540	566	0	539	286	875	283	90	602	925	224	231	695	953	253	1132	359	107	108	633	324	99	86	325	545	541	1195	333	192	339	378	421	387	717	762	929	859	597	586	548	284	775	429	546	156	312	527	891	1294	942	1008	164	694	356	728	747	212	616	78	492	845	829
710	875	217	341	456	129	262	511	402	329	415	719	315	294	539	0	385	648	778	575	132	697	331	726	194	745	379	905	238	482	509	425	424	613	458	820	241	324	967	289	429	272	873	271	157	490	554	702	633	293	360	332	779	567	107	320	636	272	78	664	1067	714	781	659	232	512	520	539	441	218	536	358	618	602
859	622	356	490	605	445	130	259	307	478	162	467	464	443	286	385	0	798	526	322	448	847	78	474	541	894	229	1054	262	230	326	574	41	361	205	568	391	474	1117	303	249	109	621	410	233	639	703	851	782	443	509	481	526	716	275	469	384	85	373	813	1217	864	931	406	540	418	670	688	188	462	283	508	767	751
64	1135	592	367	477	709	675	842	661	353	749	979	339	366	875	648	798	0	1038	835	711	708	743	986	565	357	638	259	622	817	768	447	836	873	809	1080	411	342	322	548	689	684	1133	475	569	502	538	713	214	467	371	343	1039	551	539	331	896	684	621	70	421	725	136	919	563	771	505	523	663	485	887	411	129	612
1101	156	562	675	828	839	524	275	410	693	367	90	704	730	283	779	526	1039	0	205	842	1089	464	53	935	1117	412	1296	518	396	272	797	565	231	328	101	785	705	1359	497	356	579	200	585	628	880	926	1093	1023	837	750	712	60	939	669	710	192	552	767	1055	1458	1106	1172	168	934	520	892	911	417	856	396	656	1009	993
898	301	359	472	624	636	320	72	207	489	164	146	500	527	91	576	323	836	205	0	639	885	261	153	732	913	208	1092	315	192	69	594	361	49	125	247	582	502	1155	294	152	376	300	382	424	677	722	889	820	634	547	509	206	735	466	506	62	349	564	852	1255	902	969	86	730	317	689	708	214	653	192	452	806	789
773	938	281	404	519	55	326	575	465	392	478	783	378	357	602	132	449	712	842	638	0	761	394	790	257	808	442	968	302	546	573	489	487	677	521	884	305	388	1031	353	493	335	937	334	220	554	617	765	696	357	423	395	843	630	171	383	700	335	141	727	1131	778	845	722	295	576	584	602	504	281	599	422	681	665
770	1185	642	417	210	758	724	892	711	403	799	1029	389	415	925	698	847	709	1088	885	760	0	792	1036	614	174	688	965	672	867	818	266	886	923	859	1130	460	392	208	598	739	734	1183	525	619	551	137	198	130	516	421	393	1089	166	588	381	946	734	670	723	329	80	842	969	613	821	142	116	713	535	937	461	678	98
805	560	302	436	551	391	76	197	246	424	100	405	410	389	224	331	78	744	464	260	394	793	0	412	487	840	167	1000	208	168	264	521	116	299	143	506	337	420	1063	241	187	131	559	356	179	586	649	797	728	389	455	427	465	662	221	415	322	104	319	759	1163	810	877	344	486	356	616	634	126	408	222	405	714	697
1049	149	510	623	775	787	472	223	358	641	315	37	651	678	231	727	474	987	53	153	790	1036	412	0	883	1064	359	1243	466	343	220	745	512	179	276	94	733	653	1306	445	303	527	147	533	575	828	874	1041	971	785	698	660	53	886	617	657	140	500	715	1003	1406	1053	1120	115	882	468	840	859	365	804	344	603	957	940
627	1030	373	258	373	255	418	667	525	245	570	875	232	211	694	195	541	565	934	730	258	614	486	882	0	662	502	822	394	638	632	342	579	769	613	976	158	241	884	412	552	427	1029	307	312	407	471	619	549	144	277	249	935	483	282	237	792	427	116	581	984	631	698	814	58	635	437	456	527	83	692	275	535	518
420	1213	670	445	346	806	772	921	739	422	827	1057	500	463	953	745	895	358	1117	913	808	174	840	1064	662	0	716	323	700	895	846	359	933	951	887	1158	508	425	36	627	767	781	1211	553	666	359	237	309	201	564	532	421	1117	190	636	492	975	781	718	425	157	159	243	997	660	849	234	252	741	582	965	489	484	209
700	508	162	274	427	439	170	216	112	292	119	353	303	329	243	379	220	639	412	208	442	688	158	360	528	716	0	895	124	187	142	396	259	247	162	453	374	305	958	91	57	264	506	184	233	480	525	692	622	430	350	311	412	538	269	309	270	246	367	654	1057	705	772	292	527	222	491	510	32	449	240	255	608	592
196	1391	848	623	734	965	931	1099	917	609	1005	1235	595	622	1131	905	1054	259	1295	1091	967	964	999	1242	821	323	894	0	878	1073	1024	703	1092	1129	1065	1336	667	599	288	804	945	941	1389	731	826	758	794	969	471	723	627	599	1295	807	795	587	1152	941	877	327	166	981	392	1175	820	1027	761	780	919	742	1143	667	386	869
684	614	145	258	411	300	138	322	194	276	235	458	286	313	359	240	263	622	518	314	302	671	208	465	396	700	124	879	0	303	247	380	302	352	278	559	246	288	941	75	162	172	612	168	111	463	509	676	606	297	333	295	518	522	130	292	376	173	228	638	1041	689	755	398	394	304	475	494	148	316	356	239	592	576
880	493	341	454	607	543	228	129	258	472	71	337	482	541	108	483	230	818	397	193	546	867	168	344	639	896	197	1075	303	0	197	576	268	231	76	438	489	484	1137	271	198	283	491	364	331	659	705	872	802	541	529	491	397	718	373	488	254	256	471	834	1237	884	951	277	638	368	671	690	156	560	55	435	788	772
831	368	292	405	557	570	325	76	140	422	168	213	433	460	108	510	327	769	272	68	572	818	265	220	659	846	141	1025	248	197	0	527	365	107	129	314	504	435	1088	227	85	380	367	315	428	610	655	822	753	560	480	442	273	668	400	439	130	353	498	785	1188	835	902	152	657	250	622	641	147	579	197	385	739	722
514	893	351	126	206	486	452	601	420	103	507	738	117	143	633	426	575	452	797	593	488	266	520	745	342	358	397	709	380	575	527	0	614	632	567	839	188	105	392	307	447	462	892	234	347	293	168	506	207	244	163	101	798	180	316	123	655	462	399	468	871	519	585	677	341	530	134	153	421	263	645	170	422	406
896	659	393	528	642	482	167	296	345	515	199	504	501	481	324	422	39	835	563	359	485	884	115	511	578	931	267	1091	300	267	363	612	0	398	242	605	428	511	1154	340	286	146	658	447	271	677	740	888	819	480	546	518	564	753	312	506	421	122	410	851	1254	901	968	444	577	455	707	726	225	499	321	545	805	788
937	328	398	511	664	675	360	111	246	529	203	173	539	566	100	615	362	875	232	50	678	925	300	180	771	953	248	1132	354	232	108	633	400	0	164	274	621	541	1194	333	192	415	327	421	463	716	762	929	859	673	586	548	233	775	505	545	102	388	603	891	1294	942	1008	75	770	356	728	747	253	692	179	492	845	829
872	424	333	446	598	518	203	61	181	464	46	269	474	517	86	458	205	810	328	124	521	859	143	276	614	887	172	1066	279	75	128	568	244	163	0	369	464	476	1129	268	121	258	423	356	307	651	697	864	794	516	521	483	328	709	348	480	186	231	446	826	1229	876	943	208	613	291	663	682	131	535	83	426	780	763
1142	58	604	716	869	881	565	316	451	734	408	131	745	771	324	820	567	1081	102	246	883	1130	505	94	977	1158	453	1337	559	437	313	838	606	272	370	0	826	747	1400	538	397	620	241	626	669	922	967	1134	1064	878	792	753	48	980	711	751	233	593	809	1096	1499	1147	1214	209	975	561	933	952	458	897	437	697	1050	1034
