Λασιθίου	Έβρου	Φωκίδας	Ανατολικής Αττικής	Άνδρου	Κεφαλληνίας	Άρτας	Ημαθίας	Μαγνησίας	Βορείου Τομέα Αθηνών	Γρεβενών	Δράμας	Δυτικού Τομέα Αθηνών	Δυτικής Αττικής	Πέλλας	Ζακύνθου	Θεσπρωτίας	Ηρακλείου	Θάσου	Θεσσαλονίκης	Ιθάκης	Ικαρίας	Ιωαννίνων	Καβάλας	Μεσσηνίας	Καλύμνου	Καρδίτσας	Καρπάθου	Ευρυτανίας	Καστοριάς	Πιερίας	Κύθνου	Κέρκυρας	Κιλκίς	Κοζάνης	Ροδόπης	Κορινθίας	Κεντρικού Τομέα Αθηνών	Κω	Φθιώτιδας	Λάρισας	Λευκάδας	Λήμνου	Βοιωτίας	Αιτωλ/νανίας	Μήλου	Μυκόνου	Λέσβου	Νάξου	Αργολίδας	Νήσων	Νοτίου Τομέα Αθηνών	Ξάνθης	Πάρου	Αχαΐας	Πειραιώς	Χαλκιδικής	Πρέβεζας	Ηλείας	Ρεθύμνης	Ρόδου	Σάμου	Θήρας	Σερρών	Λακωνίας	Σποράδων	Σύρου	Τήνου	Τρικάλων	Αρκαδίας	Φλώρινας	Εύβοιας	Χανίων	Χίου
0	32.1889	94.9941	202.2164	134.194	70.815	76.7425	53.1625	79.3704	214.889	64.6388	41.3099	228.0585	203.2293	49.9245	81.9356	58.2039	6021.4121	37.4092	53.9784	70.4205	70.8744	65.4898	40.8092	102.4695	210.306	84.1347	813.4733	87.7595	55.9695	61.9627	149.0513	53.8076	50.0725	56.9184	34.9989	170.113	224.9048	246.3169	107.5614	74.2395	74.9892	32.2661	135.2403	101.2212	124.0772	110.8473	70.1766	444.8505	139.1904	198.7993	224.5761	37.3716	106.7243	110.6978	236.9874	47.9182	74.9807	87.865	1666.2448	276.9426	68.1474	808.6135	45.9692	102.9537	61.5599	122.9016	115.9183	79.0631	130.6862	48.8082	169.7927	857.1038	89.9276
32.129	0	93.6296	70.5578	51.0859	49.9453	104.3376	261.3098	149.9384	67.7617	175.6225	899.6444	66.1462	62.3836	251.2704	56.2644	103.6769	35.3111	1217.9381	380.3566	49.7162	32.7333	125.1588	1341.3752	41.9347	31.3867	149.106	24.5297	106.0783	157.9391	264.8214	54.2624	93.1051	327.4308	205.4026	7292.1	55.5982	65.8727	22.6674	112.8927	183.8033	89.4962	392.3854	88.1658	79.0966	46.2529	42.6453	32.5234	36.248	50.1851	59.7445	64.9039	2575.4113	41.7037	71.5167	65.273	411.3178	96.2887	57.6442	34.4585	20.1301	31.9066	28.9642	481.3315	42.0548	105.4013	45.274	43.7729	146.3014	48.4141	157.8323	73.8679	37.0595	38.0683
94.7447	93.5759	0	622.6129	249.3532	437.7021	597.2371	267.3371	906.7152	545.0874	452.823	151.5576	505.0898	423.4233	229.8427	677.3988	280.4083	113.0632	124.172	277.6323	431.0114	98.0454	377.8518	147.7985	257.5139	90.7989	1151.3727	59.4222	1391.5734	304.3369	400.5584	289.6876	233.3946	231.4473	317.9076	109.2583	646.078	498.6295	52.3002	4866.8541	707.8761	555.8897	93.9838	6444.1753	1746.4202	197.7088	165.4883	96.8897	118.9209	444.8361	374.3444	476.4468	123.9278	157.8443	2372.5957	484.7723	209.0534	555.6977	748.14	107.9221	43.4312	93.55	78.7113	190.4503	259.5549	393.2393	188.4807	175.0434	893.1383	395.0183	218.0613	730.4176	124.1768	130.9575
201.1494	70.4527	618.1179	0	1227.5865	227.0914	265.8175	165.1248	386.1266	42733.289	243.3818	105.4016	20744.9498	7066.031	146.9532	303.8008	158.6099	265.2529	89.4298	169.9491	224.6766	211.9736	196.0441	103.2595	501.4882	188.6065	446.1471	103.0006	497.5893	182.159	222.977	1813.0265	138.5357	147.7513	188.2047	80.3434	2572.3376	18768.8116	86.7715	903.1603	329.8118	253.8731	70.7148	2215.2458	486.8525	729.6739	513.6195	208.1487	287.9351	1186.407	4166.225	13635.1946	89.2834	470.3417	608.6564	15311.5705	136.4342	253.8165	352.4285	246.2457	68.079	197.3064	152.7574	126.724	507.2723	220.0291	661.7203	571.7341	382.5219	970.6281	141.0334	10001.4446	309.2559	338.1808
131.7702	51.1324	249.5701	1234.5433	0	144.8535	163.5281	101.0613	185.2576	1644.661	134.6461	71.142	1375.7943	1019.8192	92.4274	180.8893	108.9132	163.3378	62.2765	103.2936	143.6526	727.0647	129.0674	69.9777	259.626	296.5904	203.6276	76.1961	218.3143	108.8378	126.3825	731.2314	97.5231	92.8145	111.5296	57.03	676.943	1584.5064	251.1768	310.5892	166.6045	157.8794	51.2913	481.3968	254.3436	333.936	2058.6506	135.3704	1324.1603	449.796	838.2988	1445.2692	62.1931	1082.5287	296.2055	1362.9176	87.2548	157.8524	201.9151	154.2891	53.3818	129.7763	105.6752	82.3565	261.6933	125.1624	1901.3316	2940.356	184.1073	399.1401	89.533	791.6365	183.4013	195.9821
70.6298	49.918	437.0188	226.5033	144.496	0	334.2336	120.3948	175.8976	239.5429	167.4715	69.1177	255.4734	282.9251	110.5909	1705.5398	187.7808	81.9671	60.6287	99.6921	7990.6531	72.7094	237.3557	68.0045	512.3215	65.2551	192.8039	47.1905	383.5579	132.0215	121.1859	161.1859	161.9214	89.7613	143.5777	55.5921	376.7238	244.3946	42.1601	289.9201	158.6533	2429.0231	50.0711	318.8178	677.2709	128.7653	105.8727	71.9834	85.3275	283.7699	208.6234	236.1629	60.5488	102.0317	1073.3054	249.4306	84.4794	317.1666	1513.6294	78.8343	35.7227	69.8728	60.2743	79.8181	399.9192	120.0428	117.0708	110.5892	152.2919	436.3903	111.5603	209.8908	88.6162	92.5947
76.7487	104.5371	601.3817	266.5659	163.7998	337.0049	0	509.2698	372.3075	283.4435	1187.5669	175.4605	304.2587	340.6126	423.3324	488.2549	1712.8588	89.7286	141.473	342.1436	332.5445	79.1185	4566.9229	170.7453	211.2688	70.6481	1069.8158	50.4107	1552.0743	630.3777	334.7501	184.2227	1075.7941	279.2181	776.0947	123.3278	469.3355	289.7616	44.8528	717.7019	545.0834	4369.3501	105.0219	415.008	2301.178	144.7927	117.5696	78.2904	93.6046	341.7412	243.655	279.0561	141.1737	113.0547	1292.009	296.3388	249.4681	9486.212	530.1541	86.1273	37.7935	75.8874	65.0267	225.1423	212.7661	214.2338	130.8194	123.1349	906.5137	308.3047	431.2479	245.2689	97.4096	102.0293
53.0658	260.4902	268.0383	165.7229	101.0201	120.5683	507.5417	0	702.5468	155.3378	2748.6165	687.2244	149.5157	136.4406	11393.9488	147.1543	499.8184	60.1972	445.4691	4936.6397	119.6655	54.3932	817.7147	648.5599	91.3291	51.4526	693.3583	37.4267	337.8006	1757.1555	4488.9245	110.4225	389.7305	2294.7572	6648.7479	346.187	144.1927	148.5422	33.8854	381.1972	1189.4637	357.3256	262.5073	240.8889	276.1539	87.5022	78.0079	53.9308	62.3644	121.5179	127.6634	145.1241	443.6834	75.6111	226.7506	146.4209	1629.6094	420.3764	153.4134	58.2518	29.2411	52.5804	46.3179	1233.5235	91.7335	333.6998	84.8769	80.9222	913.6513	114.6116	1752.5945	178.5335	64.2666	66.6643
79.0268	150.3155	904.1102	386.4371	184.5388	175.7759	369.9302	704.8189	0	348.7035	837.7642	290.3473	328.5099	285.5569	547.6253	225.5595	365.2015	92.641	219.4308	752.4838	174.1535	81.5079	546.6724	280.0794	128.3033	76.0434	2257.1754	51.5882	835.5228	515.242	1513.5515	209.2957	295.7189	553.8522	960.0125	184.459	230.7855	325.1986	45.8331	1967.097	6931.539	274.4441	151.1702	736.6318	353.7359	151.3804	129.7382	80.6408	96.9171	182.3538	258.5071	313.7195	218.838	124.4836	398.5556	318.0479	470.619	315.4779	237.8479	88.8577	38.543	78.1254	66.7824	407.283	128.991	2270.047	145.2623	136.2404	1966.5991	169.4983	503.1528	436.1606	100.7237	105.5941
211.8799	67.7834	544.5211	43329.5778	1627.2743	239.9582	282.3299	155.2354	349.9933	0	225.4824	100.4372	49016.3132	10699.8152	138.6825	324.2105	165.9058	281.8827	85.5747	159.6136	237.3264	223.6309	206.2408	98.4497	546.8198	207.1975	401.1673	106.7331	444.5359	170.6649	207.3178	2592.8024	144.4289	139.4112	176.1208	77.0749	3218.3902	100727.9019	89.6213	773.1541	301.373	269.2249	68.03	1725.66	530.0896	813.2515	607.5283	219.4759	306.8766	1367.6765	5638.9849	41159.5291	85.4381	551.6688	670.4584	30691.9263	129.0544	269.1629	378.2686	261.0253	70.0253	207.7146	159.7043	120.1347	553.442	204.6851	804.1039	683.6782	346.8992	1101.5755	133.2684	5863.6946	330.4721	362.6359
